_u,_v,dB(NearPoyntingTotal)
-20,-20,-41.7238
-19.2,-20,-35.7014
-18.4,-20,-36.1775
-17.6,-20,-36.1798
-16.8,-20,-36.2471
-16,-20,-32.5186
-15.2,-20,-35.8287
-14.4,-20,-34.6092
-13.6,-20,-37.553
-12.8,-20,-35.3061
-12,-20,-35.6504
-11.2,-20,-39.4252
-10.4,-20,-38.4258
-9.6,-20,-43.4036
-8.8,-20,-39.5531
-8,-20,-42.753
-7.2,-20,-47.3581
-6.4,-20,-48.7693
-5.6,-20,-54.4737
-4.8,-20,-46.7673
-4,-20,-46.3154
-3.2,-20,-46.749
-2.4,-20,-43.8267
-1.6,-20,-51.8057
-0.8,-20,-60.8644
0,-20,-49.6707
0.8,-20,-51.8497
1.6,-20,-52.3937
2.4,-20,-50.1842
3.2,-20,-52.0853
4,-20,-51.909
4.8,-20,-52.6157
5.6,-20,-49.464
6.4,-20,-47.2688
7.2,-20,-53.6141
8,-20,-49.493
8.8,-20,-51.4864
9.6,-20,-51.883
10.4,-20,-49.6102
11.2,-20,-49.1832
12,-20,-52.8996
12.8,-20,-54.5173
13.6,-20,-50.0914
14.4,-20,-49.1329
15.2,-20,-57.4851
16,-20,-54.8408
16.8,-20,-50.3043
17.6,-20,-55.6415
18.4,-20,-53.539
19.2,-20,-54.6114
20,-20,-57.0015
-20,-19.2,-32.3942
-19.2,-19.2,-38.266
-18.4,-19.2,-34.3291
-17.6,-19.2,-39.331
-16.8,-19.2,-38.1091
-16,-19.2,-37.4594
-15.2,-19.2,-36.8298
-14.4,-19.2,-39.0681
-13.6,-19.2,-36.2568
-12.8,-19.2,-38.3311
-12,-19.2,-37.2357
-11.2,-19.2,-39.3514
-10.4,-19.2,-40.5064
-9.6,-19.2,-44.0648
-8.8,-19.2,-44.2323
-8,-19.2,-41.3502
-7.2,-19.2,-45.056
-6.4,-19.2,-46.5968
-5.6,-19.2,-47.4671
-4.8,-19.2,-44.4962
-4,-19.2,-49.7536
-3.2,-19.2,-48.1843
-2.4,-19.2,-51.9656
-1.6,-19.2,-48.0902
-0.8,-19.2,-49.0301
0,-19.2,-44.9172
0.8,-19.2,-48.5632
1.6,-19.2,-49.8183
2.4,-19.2,-52.5076
3.2,-19.2,-54.4544
4,-19.2,-49.4842
4.8,-19.2,-47.3796
5.6,-19.2,-47.3867
6.4,-19.2,-51.8785
7.2,-19.2,-47.7327
8,-19.2,-46.8257
8.8,-19.2,-51.0444
9.6,-19.2,-46.6779
10.4,-19.2,-52.9378
11.2,-19.2,-60.6739
12,-19.2,-51.2651
12.8,-19.2,-54.8673
13.6,-19.2,-53.5667
14.4,-19.2,-54.4533
15.2,-19.2,-55.9563
16,-19.2,-54.4096
16.8,-19.2,-55.5946
17.6,-19.2,-48.9252
18.4,-19.2,-58.9479
19.2,-19.2,-54.1821
20,-19.2,-56.3705
-20,-18.4,-36.2606
-19.2,-18.4,-41.1503
-18.4,-18.4,-36.2373
-17.6,-18.4,-43.0598
-16.8,-18.4,-38.856
-16,-18.4,-33.6582
-15.2,-18.4,-37.8299
-14.4,-18.4,-38.4275
-13.6,-18.4,-36.0899
-12.8,-18.4,-38.8791
-12,-18.4,-39.9345
-11.2,-18.4,-41.7098
-10.4,-18.4,-44.2398
-9.6,-18.4,-43.7112
-8.8,-18.4,-46.9759
-8,-18.4,-42.9046
-7.2,-18.4,-43.5396
-6.4,-18.4,-45.2656
-5.6,-18.4,-45.2842
-4.8,-18.4,-46.1635
-4,-18.4,-47.7762
-3.2,-18.4,-43.912
-2.4,-18.4,-45.9246
-1.6,-18.4,-44.4358
-0.8,-18.4,-45.5577
0,-18.4,-49.0171
0.8,-18.4,-48.5763
1.6,-18.4,-53.5752
2.4,-18.4,-43.1841
3.2,-18.4,-49.67
4,-18.4,-49.6601
4.8,-18.4,-46.423
5.6,-18.4,-45.8741
6.4,-18.4,-47.3213
7.2,-18.4,-51.2878
8,-18.4,-54.3811
8.8,-18.4,-54.0859
9.6,-18.4,-50.5612
10.4,-18.4,-56.8586
11.2,-18.4,-54.3932
12,-18.4,-51.8858
12.8,-18.4,-49.3323
13.6,-18.4,-49.587
14.4,-18.4,-52.341
15.2,-18.4,-53.6247
16,-18.4,-52.4663
16.8,-18.4,-51.2234
17.6,-18.4,-56.435
18.4,-18.4,-53.9939
19.2,-18.4,-54.8431
20,-18.4,-54.8508
-20,-17.6,-37.7306
-19.2,-17.6,-43.1235
-18.4,-17.6,-38.1409
-17.6,-17.6,-36.7146
-16.8,-17.6,-38.263
-16,-17.6,-37.9398
-15.2,-17.6,-30.3714
-14.4,-17.6,-37.0293
-13.6,-17.6,-38.0862
-12.8,-17.6,-40.3524
-12,-17.6,-43.2032
-11.2,-17.6,-39.8631
-10.4,-17.6,-41.7298
-9.6,-17.6,-42.259
-8.8,-17.6,-42.4496
-8,-17.6,-42.8776
-7.2,-17.6,-43.9103
-6.4,-17.6,-45.0732
-5.6,-17.6,-46.4987
-4.8,-17.6,-45.268
-4,-17.6,-44.5994
-3.2,-17.6,-43.9419
-2.4,-17.6,-42.4247
-1.6,-17.6,-43.6641
-0.8,-17.6,-48.4375
0,-17.6,-50.9118
0.8,-17.6,-54.1556
1.6,-17.6,-51.7322
2.4,-17.6,-46.6981
3.2,-17.6,-48.3529
4,-17.6,-44.9985
4.8,-17.6,-47.1626
5.6,-17.6,-56.9697
6.4,-17.6,-49.112
7.2,-17.6,-51.3885
8,-17.6,-53.5093
8.8,-17.6,-46.6339
9.6,-17.6,-50.9503
10.4,-17.6,-59.4253
11.2,-17.6,-50.6658
12,-17.6,-58.2617
12.8,-17.6,-53.1809
13.6,-17.6,-55.3018
14.4,-17.6,-46.3399
15.2,-17.6,-52.5407
16,-17.6,-53.6526
16.8,-17.6,-51.4704
17.6,-17.6,-55.2607
18.4,-17.6,-57.5082
19.2,-17.6,-63.7795
20,-17.6,-55.1071
-20,-16.8,-41.5501
-19.2,-16.8,-39.0178
-18.4,-16.8,-41.2053
-17.6,-16.8,-41.119
-16.8,-16.8,-38.7784
-16,-16.8,-35.2307
-15.2,-16.8,-38.6041
-14.4,-16.8,-37.8588
-13.6,-16.8,-43.2358
-12.8,-16.8,-39.5321
-12,-16.8,-47.2706
-11.2,-16.8,-47.051
-10.4,-16.8,-43.4526
-9.6,-16.8,-43.1174
-8.8,-16.8,-47.2416
-8,-16.8,-42.8497
-7.2,-16.8,-44.3351
-6.4,-16.8,-46.5262
-5.6,-16.8,-46.1095
-4.8,-16.8,-43.8622
-4,-16.8,-40.0166
-3.2,-16.8,-40.9371
-2.4,-16.8,-40.6385
-1.6,-16.8,-46.24
-0.8,-16.8,-49.1522
0,-16.8,-47.9351
0.8,-16.8,-53.9524
1.6,-16.8,-50.7902
2.4,-16.8,-49.0249
3.2,-16.8,-47.4144
4,-16.8,-56.7218
4.8,-16.8,-54.4611
5.6,-16.8,-56.7724
6.4,-16.8,-46.9322
7.2,-16.8,-52.5879
8,-16.8,-54.5277
8.8,-16.8,-54.1001
9.6,-16.8,-58.1624
10.4,-16.8,-53.1868
11.2,-16.8,-47.6129
12,-16.8,-47.8839
12.8,-16.8,-55.5295
13.6,-16.8,-50.5121
14.4,-16.8,-49.2461
15.2,-16.8,-49.3327
16,-16.8,-55.7206
16.8,-16.8,-53.8059
17.6,-16.8,-56.728
18.4,-16.8,-55.3543
19.2,-16.8,-53.6258
20,-16.8,-51.3249
-20,-16,-38.0694
-19.2,-16,-42.1096
-18.4,-16,-39.7119
-17.6,-16,-43.0368
-16.8,-16,-39.5237
-16,-16,-41.1892
-15.2,-16,-37.2229
-14.4,-16,-38.1223
-13.6,-16,-38.7425
-12.8,-16,-41.0997
-12,-16,-46.2517
-11.2,-16,-45.6847
-10.4,-16,-45.2859
-9.6,-16,-50.37
-8.8,-16,-45.8503
-8,-16,-41.1742
-7.2,-16,-45.5395
-6.4,-16,-48.8216
-5.6,-16,-45.1307
-4.8,-16,-37.4546
-4,-16,-37.8778
-3.2,-16,-41.3801
-2.4,-16,-43.3541
-1.6,-16,-45.4715
-0.8,-16,-49.7016
0,-16,-47.6218
0.8,-16,-45.4742
1.6,-16,-44.66
2.4,-16,-48.4804
3.2,-16,-49.2693
4,-16,-48.6139
4.8,-16,-47.7092
5.6,-16,-54.6087
6.4,-16,-51.6524
7.2,-16,-49.1913
8,-16,-55.2437
8.8,-16,-50.9932
9.6,-16,-48.4636
10.4,-16,-47.1954
11.2,-16,-45.4492
12,-16,-47.5208
12.8,-16,-51.0702
13.6,-16,-52.9324
14.4,-16,-51.64
15.2,-16,-65.5429
16,-16,-56.2566
16.8,-16,-55.0028
17.6,-16,-51.5848
18.4,-16,-54.1345
19.2,-16,-56.5589
20,-16,-60.3865
-20,-15.2,-40.7463
-19.2,-15.2,-44.5375
-18.4,-15.2,-42.629
-17.6,-15.2,-41.4009
-16.8,-15.2,-38.1491
-16,-15.2,-42.8693
-15.2,-15.2,-40.9246
-14.4,-15.2,-38.784
-13.6,-15.2,-42.2732
-12.8,-15.2,-45.8368
-12,-15.2,-45.9901
-11.2,-15.2,-43.8432
-10.4,-15.2,-44.4395
-9.6,-15.2,-40.7743
-8.8,-15.2,-46.6202
-8,-15.2,-42.0084
-7.2,-15.2,-43.4203
-6.4,-15.2,-47.3161
-5.6,-15.2,-39.2747
-4.8,-15.2,-37.0321
-4,-15.2,-36.7018
-3.2,-15.2,-41.1019
-2.4,-15.2,-47.4592
-1.6,-15.2,-47.6847
-0.8,-15.2,-50.3283
0,-15.2,-48.2697
0.8,-15.2,-50.8488
1.6,-15.2,-50.3079
2.4,-15.2,-52.7856
3.2,-15.2,-46.6656
4,-15.2,-47.8893
4.8,-15.2,-48.6393
5.6,-15.2,-49.5978
6.4,-15.2,-45.3766
7.2,-15.2,-49.5563
8,-15.2,-50.7756
8.8,-15.2,-49.4314
9.6,-15.2,-50.342
10.4,-15.2,-52.1871
11.2,-15.2,-47.949
12,-15.2,-48.5815
12.8,-15.2,-49.5956
13.6,-15.2,-53.0174
14.4,-15.2,-56.4605
15.2,-15.2,-52.9714
16,-15.2,-49.8915
16.8,-15.2,-51.1353
17.6,-15.2,-65.4511
18.4,-15.2,-51.8358
19.2,-15.2,-53.5193
20,-15.2,-50.6276
-20,-14.4,-48.395
-19.2,-14.4,-42.7765
-18.4,-14.4,-47.6896
-17.6,-14.4,-42.5552
-16.8,-14.4,-43.9045
-16,-14.4,-41.0999
-15.2,-14.4,-39.9942
-14.4,-14.4,-44.5701
-13.6,-14.4,-41.5568
-12.8,-14.4,-45.1224
-12,-14.4,-45.4674
-11.2,-14.4,-48.1065
-10.4,-14.4,-46.5378
-9.6,-14.4,-41.5774
-8.8,-14.4,-50.133
-8,-14.4,-45.0418
-7.2,-14.4,-48.9951
-6.4,-14.4,-41.2719
-5.6,-14.4,-37.1018
-4.8,-14.4,-39.2039
-4,-14.4,-40.2217
-3.2,-14.4,-44.5602
-2.4,-14.4,-52.7362
-1.6,-14.4,-47.038
-0.8,-14.4,-49.0759
0,-14.4,-55.2752
0.8,-14.4,-45.6517
1.6,-14.4,-45.6238
2.4,-14.4,-48.4891
3.2,-14.4,-49.3588
4,-14.4,-45.2365
4.8,-14.4,-44.5924
5.6,-14.4,-48.9334
6.4,-14.4,-51.583
7.2,-14.4,-51.0077
8,-14.4,-52.6975
8.8,-14.4,-56.7013
9.6,-14.4,-50.5087
10.4,-14.4,-57.8997
11.2,-14.4,-51.0182
12,-14.4,-49.9641
12.8,-14.4,-55.8305
13.6,-14.4,-49.7967
14.4,-14.4,-51.5487
15.2,-14.4,-52.2953
16,-14.4,-50.7637
16.8,-14.4,-51.2557
17.6,-14.4,-54.5477
18.4,-14.4,-52.3446
19.2,-14.4,-55.696
20,-14.4,-58.9018
-20,-13.6,-42.9486
-19.2,-13.6,-42.5873
-18.4,-13.6,-41.213
-17.6,-13.6,-39.5634
-16.8,-13.6,-49.5753
-16,-13.6,-41.0821
-15.2,-13.6,-43.9142
-14.4,-13.6,-46.4442
-13.6,-13.6,-42.1296
-12.8,-13.6,-46.5857
-12,-13.6,-43.826
-11.2,-13.6,-45.4695
-10.4,-13.6,-42.9854
-9.6,-13.6,-41.2024
-8.8,-13.6,-45.0082
-8,-13.6,-46.7933
-7.2,-13.6,-45.3387
-6.4,-13.6,-42.9818
-5.6,-13.6,-38.9989
-4.8,-13.6,-43.4515
-4,-13.6,-42.9802
-3.2,-13.6,-44.5205
-2.4,-13.6,-50.3743
-1.6,-13.6,-56.0492
-0.8,-13.6,-48.3066
0,-13.6,-43.7881
0.8,-13.6,-43.4405
1.6,-13.6,-46.2044
2.4,-13.6,-44.5368
3.2,-13.6,-39.7159
4,-13.6,-45.9101
4.8,-13.6,-46.7023
5.6,-13.6,-48.7033
6.4,-13.6,-50.8222
7.2,-13.6,-55.8077
8,-13.6,-55.0035
8.8,-13.6,-53.4481
9.6,-13.6,-54.8061
10.4,-13.6,-52.4639
11.2,-13.6,-51.4021
12,-13.6,-51.626
12.8,-13.6,-58.193
13.6,-13.6,-46.3998
14.4,-13.6,-52.9689
15.2,-13.6,-54.8473
16,-13.6,-63.0006
16.8,-13.6,-53.359
17.6,-13.6,-51.7442
18.4,-13.6,-56.4869
19.2,-13.6,-55.942
20,-13.6,-52.7813
-20,-12.8,-45.0084
-19.2,-12.8,-44.0473
-18.4,-12.8,-52.3742
-17.6,-12.8,-36.4856
-16.8,-12.8,-45.6747
-16,-12.8,-37.184
-15.2,-12.8,-42.1607
-14.4,-12.8,-43.2901
-13.6,-12.8,-46.7561
-12.8,-12.8,-39.3066
-12,-12.8,-51.7139
-11.2,-12.8,-41.7793
-10.4,-12.8,-43.0291
-9.6,-12.8,-51.1366
-8.8,-12.8,-42.6959
-8,-12.8,-44.2765
-7.2,-12.8,-41.0176
-6.4,-12.8,-41.0312
-5.6,-12.8,-45.6863
-4.8,-12.8,-47.0474
-4,-12.8,-40.8339
-3.2,-12.8,-43.7639
-2.4,-12.8,-43.2751
-1.6,-12.8,-47.2606
-0.8,-12.8,-41.5663
0,-12.8,-40.0918
0.8,-12.8,-39.8901
1.6,-12.8,-41.5395
2.4,-12.8,-45.535
3.2,-12.8,-41.6179
4,-12.8,-44.0809
4.8,-12.8,-48.8429
5.6,-12.8,-47.7268
6.4,-12.8,-50.4538
7.2,-12.8,-50.6232
8,-12.8,-52.0361
8.8,-12.8,-49.0891
9.6,-12.8,-51.1702
10.4,-12.8,-50.8015
11.2,-12.8,-46.012
12,-12.8,-52.8459
12.8,-12.8,-48.5422
13.6,-12.8,-53.7014
14.4,-12.8,-55.7674
15.2,-12.8,-48.7437
16,-12.8,-51.9943
16.8,-12.8,-51.9236
17.6,-12.8,-47.763
18.4,-12.8,-51.8886
19.2,-12.8,-55.8813
20,-12.8,-55.7639
-20,-12,-48.7897
-19.2,-12,-44.7089
-18.4,-12,-48.8535
-17.6,-12,-43.075
-16.8,-12,-45.8778
-16,-12,-44.3413
-15.2,-12,-37.7161
-14.4,-12,-48.3185
-13.6,-12,-48.5775
-12.8,-12,-43.8197
-12,-12,-43.4184
-11.2,-12,-42.8475
-10.4,-12,-52.577
-9.6,-12,-42.2091
-8.8,-12,-43.268
-8,-12,-47.4169
-7.2,-12,-45.3241
-6.4,-12,-42.6633
-5.6,-12,-47.0566
-4.8,-12,-42.3231
-4,-12,-41.0461
-3.2,-12,-41.523
-2.4,-12,-39.6036
-1.6,-12,-38.1937
-0.8,-12,-37.4213
0,-12,-38.7602
0.8,-12,-39.8689
1.6,-12,-39.5598
2.4,-12,-44.0426
3.2,-12,-48.4583
4,-12,-49.8962
4.8,-12,-54.5167
5.6,-12,-49.218
6.4,-12,-47.4737
7.2,-12,-47.1706
8,-12,-55.598
8.8,-12,-53.2219
9.6,-12,-50.2969
10.4,-12,-52.0041
11.2,-12,-52.8354
12,-12,-55.4167
12.8,-12,-52.922
13.6,-12,-53.686
14.4,-12,-57.3649
15.2,-12,-57.8341
16,-12,-54.3611
16.8,-12,-50.9
17.6,-12,-50.1944
18.4,-12,-50.6684
19.2,-12,-52.2247
20,-12,-46.5278
-20,-11.2,-47.4522
-19.2,-11.2,-38.6563
-18.4,-11.2,-45.5127
-17.6,-11.2,-44.6364
-16.8,-11.2,-44.1471
-16,-11.2,-41.6578
-15.2,-11.2,-44.3567
-14.4,-11.2,-40.304
-13.6,-11.2,-45.0645
-12.8,-11.2,-42.8409
-12,-11.2,-44.1041
-11.2,-11.2,-46.5545
-10.4,-11.2,-44.2548
-9.6,-11.2,-46.7478
-8.8,-11.2,-45.7119
-8,-11.2,-50.2467
-7.2,-11.2,-44.4031
-6.4,-11.2,-46.9012
-5.6,-11.2,-44.5321
-4.8,-11.2,-41.5152
-4,-11.2,-39.7912
-3.2,-11.2,-39.7501
-2.4,-11.2,-37.3255
-1.6,-11.2,-40.1442
-0.8,-11.2,-41.1334
0,-11.2,-45.4231
0.8,-11.2,-47.1416
1.6,-11.2,-51.3742
2.4,-11.2,-45.1176
3.2,-11.2,-50.4612
4,-11.2,-50.1354
4.8,-11.2,-51.6164
5.6,-11.2,-48.1052
6.4,-11.2,-51.8987
7.2,-11.2,-53.6203
8,-11.2,-50.7947
8.8,-11.2,-50.1101
9.6,-11.2,-52.1912
10.4,-11.2,-51.9853
11.2,-11.2,-51.3347
12,-11.2,-51.7823
12.8,-11.2,-54.5678
13.6,-11.2,-49.8747
14.4,-11.2,-53.47
15.2,-11.2,-54.3973
16,-11.2,-63.1717
16.8,-11.2,-56.7139
17.6,-11.2,-57.3149
18.4,-11.2,-53.4768
19.2,-11.2,-55.5393
20,-11.2,-58.2552
-20,-10.4,-41.5886
-19.2,-10.4,-51.0344
-18.4,-10.4,-46.8838
-17.6,-10.4,-41.649
-16.8,-10.4,-42.5559
-16,-10.4,-48.7415
-15.2,-10.4,-41.7429
-14.4,-10.4,-44.9509
-13.6,-10.4,-45.7427
-12.8,-10.4,-40.9117
-12,-10.4,-39.097
-11.2,-10.4,-43.6708
-10.4,-10.4,-45.9425
-9.6,-10.4,-45.5952
-8.8,-10.4,-42.8497
-8,-10.4,-40.032
-7.2,-10.4,-43.7849
-6.4,-10.4,-44.5464
-5.6,-10.4,-40.6024
-4.8,-10.4,-42.2271
-4,-10.4,-40.665
-3.2,-10.4,-40.0342
-2.4,-10.4,-40.6524
-1.6,-10.4,-36.551
-0.8,-10.4,-40.1472
0,-10.4,-43.37
0.8,-10.4,-45.358
1.6,-10.4,-47.4691
2.4,-10.4,-49.7418
3.2,-10.4,-48.2992
4,-10.4,-45.3899
4.8,-10.4,-50.4264
5.6,-10.4,-50.5409
6.4,-10.4,-53.4683
7.2,-10.4,-49.8349
8,-10.4,-52.7876
8.8,-10.4,-50.0935
9.6,-10.4,-51.4894
10.4,-10.4,-53.6967
11.2,-10.4,-51.8967
12,-10.4,-49.3498
12.8,-10.4,-52.102
13.6,-10.4,-51.4298
14.4,-10.4,-49.3798
15.2,-10.4,-61.25
16,-10.4,-53.8231
16.8,-10.4,-55.1946
17.6,-10.4,-53.4606
18.4,-10.4,-54.8656
19.2,-10.4,-56.1686
20,-10.4,-54.2094
-20,-9.6,-46.3259
-19.2,-9.6,-38.0688
-18.4,-9.6,-41.0142
-17.6,-9.6,-43.2459
-16.8,-9.6,-46.4302
-16,-9.6,-45.4832
-15.2,-9.6,-39.4675
-14.4,-9.6,-46.0425
-13.6,-9.6,-42.4067
-12.8,-9.6,-39.7911
-12,-9.6,-41.0834
-11.2,-9.6,-38.6847
-10.4,-9.6,-42.2583
-9.6,-9.6,-43.8771
-8.8,-9.6,-38.7554
-8,-9.6,-36.8869
-7.2,-9.6,-37.7241
-6.4,-9.6,-48.0833
-5.6,-9.6,-43.8213
-4.8,-9.6,-41.5521
-4,-9.6,-42.1072
-3.2,-9.6,-38.9132
-2.4,-9.6,-39.2188
-1.6,-9.6,-42.1245
-0.8,-9.6,-40.964
0,-9.6,-43.5533
0.8,-9.6,-49.7888
1.6,-9.6,-49.2832
2.4,-9.6,-50.7501
3.2,-9.6,-49.1638
4,-9.6,-43.3927
4.8,-9.6,-52.917
5.6,-9.6,-51.0243
6.4,-9.6,-50.5343
7.2,-9.6,-44.4761
8,-9.6,-58.1767
8.8,-9.6,-51.3003
9.6,-9.6,-51.406
10.4,-9.6,-53.6785
11.2,-9.6,-53.4379
12,-9.6,-56.0795
12.8,-9.6,-53.7562
13.6,-9.6,-52.8156
14.4,-9.6,-53.9536
15.2,-9.6,-54.7004
16,-9.6,-57.3051
16.8,-9.6,-56.7658
17.6,-9.6,-63.5796
18.4,-9.6,-58.2986
19.2,-9.6,-54.2455
20,-9.6,-52.498
-20,-8.8,-45.6722
-19.2,-8.8,-44.0771
-18.4,-8.8,-40.0765
-17.6,-8.8,-44.6516
-16.8,-8.8,-50.4081
-16,-8.8,-46.3658
-15.2,-8.8,-45.2535
-14.4,-8.8,-38.2423
-13.6,-8.8,-41.7379
-12.8,-8.8,-38.6034
-12,-8.8,-45.7542
-11.2,-8.8,-44.3587
-10.4,-8.8,-38.7972
-9.6,-8.8,-37.5065
-8.8,-8.8,-39.5193
-8,-8.8,-38.1957
-7.2,-8.8,-40.6992
-6.4,-8.8,-49.5504
-5.6,-8.8,-47.2384
-4.8,-8.8,-40.2797
-4,-8.8,-42.9817
-3.2,-8.8,-44.8631
-2.4,-8.8,-45.0985
-1.6,-8.8,-42.9482
-0.8,-8.8,-51.5038
0,-8.8,-49.2916
0.8,-8.8,-46.1326
1.6,-8.8,-49.5881
2.4,-8.8,-43.6728
3.2,-8.8,-48.7573
4,-8.8,-50.0037
4.8,-8.8,-57.1893
5.6,-8.8,-47.1434
6.4,-8.8,-52.1257
7.2,-8.8,-52.5904
8,-8.8,-51.0752
8.8,-8.8,-49.1714
9.6,-8.8,-49.1912
10.4,-8.8,-50.1114
11.2,-8.8,-50.3715
12,-8.8,-54.5841
12.8,-8.8,-52.619
13.6,-8.8,-54.5234
14.4,-8.8,-48.5434
15.2,-8.8,-54.7666
16,-8.8,-49.1239
16.8,-8.8,-49.9746
17.6,-8.8,-56.2755
18.4,-8.8,-61.3807
19.2,-8.8,-53.6196
20,-8.8,-58.9987
-20,-8,-41.3703
-19.2,-8,-36.6797
-18.4,-8,-42.9607
-17.6,-8,-43.6821
-16.8,-8,-41.9445
-16,-8,-40.0032
-15.2,-8,-38.0654
-14.4,-8,-44.5421
-13.6,-8,-40.2022
-12.8,-8,-40.4359
-12,-8,-43.2965
-11.2,-8,-43.9382
-10.4,-8,-38.7146
-9.6,-8,-44.9398
-8.8,-8,-45.9272
-8,-8,-40.1404
-7.2,-8,-43.6685
-6.4,-8,-45.158
-5.6,-8,-44.9343
-4.8,-8,-46.1452
-4,-8,-43.928
-3.2,-8,-44.5501
-2.4,-8,-47.7607
-1.6,-8,-44.4645
-0.8,-8,-42.0763
0,-8,-48.1049
0.8,-8,-45.5585
1.6,-8,-47.4301
2.4,-8,-50.7815
3.2,-8,-50.5935
4,-8,-49.0049
4.8,-8,-48.8035
5.6,-8,-48.506
6.4,-8,-52.8721
7.2,-8,-52.3886
8,-8,-48.0526
8.8,-8,-52.7657
9.6,-8,-51.3991
10.4,-8,-51.391
11.2,-8,-47.2826
12,-8,-48.6313
12.8,-8,-46.3261
13.6,-8,-53.4887
14.4,-8,-53.0601
15.2,-8,-51.3364
16,-8,-61.2289
16.8,-8,-65.6825
17.6,-8,-54.6497
18.4,-8,-57.0407
19.2,-8,-56.6595
20,-8,-53.9281
-20,-7.2,-41.5021
-19.2,-7.2,-37.6354
-18.4,-7.2,-42.47
-17.6,-7.2,-42.9017
-16.8,-7.2,-41.0186
-16,-7.2,-40.1658
-15.2,-7.2,-41.8527
-14.4,-7.2,-35.94
-13.6,-7.2,-35.9499
-12.8,-7.2,-40.1921
-12,-7.2,-42.166
-11.2,-7.2,-39.6891
-10.4,-7.2,-47.1363
-9.6,-7.2,-51.6791
-8.8,-7.2,-45.9708
